starter,count
okay,157
all right,88
yes,42
bye,28
entendi,27
perfeito,19
ta,19
awesome,19
give me a call,16
sim,15
yeah,15
i see,15
ok,14
978 381 1212,14
certo,14
that's awesome,13
it,12
all right i'm gonna,12
isso,11
ate mais,11
did i catch you,11
ta bom,10
all right all right,10
it's 35 per person,10
andre,9
i'm wonderful,9
right,9
i'm gonna send you,9
maravilha,8
o,8
if you need to,8
entao,8
hello,8
ta certo,7
all right awesome,7
tudo bem,7
e,7
we're going to have,7
all right let me,7
that's,7
i would love to,7
may i give you,7
once you say yes,7
i'm sorry,7
eu,7
no worries,7
vamos la,6
this is andre calling,6
how about yourself,6
come on,6
and,6
i sent you a,6
so,6
i'll tell you what,6
as soon as you,6
oh wow,6
oi,6
beleza,5
eu vou te mandar,5
meu deus,5
verdade,5
we'll talk soon,5
and by the way,5
by the way,5
tchau,5
it's going to be,5
great day to you,5
it's,5
no problem,5
just wondering over here,5
awesome awesome,5
i'm so sorry,5
do you have any,5
sure,5
i mean,5
you can bring as,5
this is andre from,5
perfect,5
if you have any,5
thank you,5
is that okay,5
just give me one,4
yes yes,4
this is andre with,4
can i help you,4
do you have a,4
pode ser,4
how did you come,4
i totally understand,4
towards the bill,4
e o andre aqui,4
okay all right,4
that's great,4
also,4
talk to you soon,4
andre here from conquito,4
have yourself a great,4
deixa eu te perguntar,4
voce,4
nada,4
just,4
this is going to,4
i,4
how does that sound,4
i hear you,4
let me see,4
i don't want to,4
you should have it,4
and like i said,4
good morning,4
entendo,4
andre konkido catering,4
it's just a matter,4
i got you,4
nao,4
eu acho que voce,4
tudo tranquilo,3
pode,3
isso e uma coisa,3
as soon as i,3
you have yourself a,3
oh geez,3
entendi entendi,3
e ai voce vai,3
hope you have a,3
let's talk,3
i'll talk to you,3
how's it going man,3
great day,3
andre kom keto catering,3
now,3
hold on,3
it's a,3
you're going to have,3
when you,3
take a look at,3
have a great day,3
andre raw,3
and once you say,3
that's great to know,3
and as soon as,3
how's it going,3
i see that you're,3
pois e,3
i sent you an,3
i just want to,3
you're going to be,3
i've seen people get,3
so 70 goes back,3
e ai a gente,3
can you,3
sounds great,3
e 35 dolares por,3
alo,3
did you have a,3
great,3
i have,3
all right hold on,3
are you brazilian,3
we have,3
i'm gonna,3
that's going to be,3
claro,3
como e que ta,3
wow,3
let me ask you,3
all right i got,3
okay okay,3
deixa eu te falar,3
vamos fazer o seguinte,3
leite,3
menino,3
