word,count
voce,553
que,440
right,323
all,286
para,238
gente,228
com,217
it's,208
this,178
going,171
uma,162
nao,156
pra,154
with,154
aqui,146
andre,146
vai,143
vou,141
here,133
that's,126
great,124
tem,106
over,106
i'll,106
yes,106
see,103
entao,99
come,99
one,96
you're,93
mais,91
our,90
fazer,89
send,89
tudo,88
ele,88
food,88
pode,87
isso,87
people,85
everything,85
quote,84
pessoas,83
talk,83
gonna,81
por,80
about,80
catering,78
give,77
vamos,75
nos,75
call,75
way,74
now,73
say,72
what,72
would,72
let,71
awesome,69
assim,66
make,65
how,64
quando,63
colocar,61
esta,61
tasting,61
we'll,61
some,61
bom,60
comida,59
also,59
menu,58
coisa,56
when,56
message,55
agora,54
tell,54
salad,54
different,54
como,52
ter,52
there,51
porque,50
dia,50
text,50
best,50
time,50
guys,50
bem,49
day,49
because,49
back,49
man,48
good,47
soon,47
want,47
falar,46
muito,46
did,46
help,46
sent,46
seu,45
sim,45
take,45
we're,45
actually,44
tambem,43
ser,43
let's,43
chicken,42
mas,41
forma,40
person,40
they,40
rodrigo,39
entendi,38
out,38
need,38
event,38
ela,38
certo,37
faz,37
mandar,37
deixa,37
pessoa,37
sure,36
bye,36
could,36
brazilian,36
once,35
per,35
arroz,33
then,33
not,33
vem,32
melhor,32
feijao,32
conquito,32
was,32
free,32
falou,31
100,31
ate,31
understand,31
maybe,31
keto,31
phone,31
look,31
evento,30
ver,30
mail,30
any,30
should,30
try,30
something,30
appetizers,30
link,29
menos,29
nosso,29
carne,29
said,29
number,29
email,29
perfeito,28
servico,28
tipo,28
qualquer,27
bar,27
mean,27
pagamento,26
yourself,26
calling,26
cotacao,26
temos,26
sunday,26
will,26
aperitivos,25
put,25
dolares,25
bit,25
three,25
there's,25
set,25
sorry,25
esse,24
favor,24
meu,24
978,24
bacon,24
fala,24
possible,24
barbecue,24
boa,23
fitchburg,23
again,23
cheese,23
little,23
wedding,23
molho,23
coloca,23
preco,23
olha,23
direitinho,22
name,22
sao,22
frango,22
voces,22
service,22
sides,22
emails,22
two,22
mesa,22
eles,22
ficar,21
fica,21
love,21
packages,21
bring,21
15th,21
kind,21
payment,21
dois,20
poder,20
1212,20
vez,20
find,20
dizer,20
mesmo,19
completo,19
vir,19
todos,19
before,19
381,19
picanha,19
tropeiro,19
lot,19
information,19
ready,19
tres,19
manda,18
anything,18
buffet,18
tipos,18
coming,18
may,18
much,18
table,18
more,18
talking,18
salada,18
tenho,18
hora,18
data,17
always,17
second,17
pediu,17
trocar,17
mensagem,17
hope,17
believe,17
meats,17
choose,17
next,17
thing,17
daqui,17
acho,17
falei,17
price,17
seja,17
dar,16
alguma,16
nossa,16
too,16
receive,16
ask,16
resolver,16
eat,16
care,16
wonderful,16
definitely,16
place,16
comes,16
really,16
2pm,16
where,16
meat,16
work,16
madeira,16
mandei,16
other,16
cara,15
coisas,15
questions,15
what's,15
tarde,15
conversar,15
queijo,15
essa,15
quantas,15
trying,15
